Unnamed: 0,county_code,name,address,lat,lon
234,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
235,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
236,5,,6425 N COSNINO RD FLAGSTAFF AZ 86004,35.23074,-111.46546
237,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
238,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
239,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
240,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
241,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
242,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
243,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
244,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
245,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
246,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
247,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
248,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
249,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
250,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
251,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
252,5,,235 N GRAND CANYON BLVD WILLIAMS AZ 86046,35.25205,-112.19147
253,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
254,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
255,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
256,5,,235 N GRAND CANYON BLVD WILLIAMS AZ 86046,35.25205,-112.19147
257,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
258,5,,67 WARRIOR DR TUBA CITY AZ 86045,36.12676,-111.22328
259,5,,1705 S SAN FRANCISCO ST FLAGSTAFF AZ 86011,35.18051,-111.6529
260,5,,4650 N US HIGHWAY 89 FLAGSTAFF AZ 86004,35.22332,-111.58076
